ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.0.5","192.168.0.11","132","1","0","128","6","65263","273","278","92","3","0","0","1","1","0","0","0","127.453538000","0.018897000","0.051335000","0.018897000"
"192.168.0.11","192.168.0.5","100","1","0","128","6","63871","370","273","60","3","0","0","1","1","0","0","0","127.454838000","0.001300000","0.052635000","0.001300000"
"192.168.0.5","192.168.0.11","1124","1","0","128","6","65203","333","370","1084","3","0","0","1","1","0","0","0","127.478282000","0.023444000","0.076079000","0.023444000"
"192.168.0.11","192.168.0.5","79","1","0","128","6","62787","1454","333","39","3","0","0","1","1","0","0","0","127.479357000","0.001075000","0.077154000","0.001075000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","1454","1460","3","0","0","1","1","0","0","0","127.502418000","0.023061000","0.100215000","0.023061000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","2914","1460","3","0","0","1","1","0","0","0","127.503209000","0.000791000","0.101006000","0.000791000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","4374","372","0","3","0","0","1","0","0","0","0","127.504106000","0.000897000","0.101903000","0.000897000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","4374","1233","3","0","0","1","1","0","0","0","127.504498000","0.000392000","0.102295000","0.000392000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","5607","1460","3","0","0","1","1","0","0","0","127.518564000","0.014066000","0.116361000","0.014066000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","7067","1460","3","0","0","1","1","0","0","0","127.519431000","0.000867000","0.117228000","0.000867000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","7067","372","0","3","0","0","1","0","0","0","0","127.519580000","0.000149000","0.117377000","0.000149000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","8527","1460","3","0","0","1","1","0","0","0","127.520092000","0.000512000","0.117889000","0.000512000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","9987","1460","3","0","0","1","1","0","0","0","127.520334000","0.000242000","0.118131000","0.000242000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64013","9987","372","0","3","0","0","1","0","0","0","0","127.521231000","0.000897000","0.119028000","0.000897000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","11447","372","0","3","0","0","1","0","0","0","0","127.523780000","0.002549000","0.121577000","0.002549000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","11447","1460","3","0","0","1","1","0","0","0","127.533496000","0.009716000","0.131293000","0.009716000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","12907","1460","3","0","0","1","1","0","0","0","127.534229000","0.000733000","0.132026000","0.000733000"
"192.168.0.5","192.168.0.11","1046","1","0","128","6","65164","372","14367","1006","3","0","0","1","1","0","0","0","127.534474000","0.000245000","0.132271000","0.000245000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","15373","1460","3","0","0","1","1","0","0","0","127.534743000","0.000269000","0.132540000","0.000269000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","63786","14367","372","0","3","0","0","1","0","0","0","0","127.535177000","0.000434000","0.132974000","0.000434000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","15373","372","0","3","0","0","1","0","0","0","0","127.535463000","0.000286000","0.133260000","0.000286000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","16833","1233","3","0","0","1","1","0","0","0","127.535829000","0.000366000","0.133626000","0.000366000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","18066","1460","3","0","0","1","1","0","0","0","127.536302000","0.000473000","0.134099000","0.000473000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","18066","372","0","3","0","0","1","0","0","0","0","127.536813000","0.000511000","0.134610000","0.000511000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","19526","1460","3","0","0","1","1","0","0","0","127.536999000","0.000186000","0.134796000","0.000186000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","20986","372","0","3","0","0","1","0","0","0","0","127.537844000","0.000845000","0.135641000","0.000845000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","20986","1233","3","0","0","1","1","0","0","0","127.538223000","0.000379000","0.136020000","0.000379000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","22219","1460","3","0","0","1","1","0","0","0","127.550655000","0.012432000","0.148452000","0.012432000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","23679","1460","3","0","0","1","1","0","0","0","127.551027000","0.000372000","0.148824000","0.000372000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","25139","1460","3","0","0","1","1","0","0","0","127.551270000","0.000243000","0.149067000","0.000243000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","26599","1233","3","0","0","1","1","0","0","0","127.551517000","0.000247000","0.149314000","0.000247000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","23679","372","0","3","0","0","1","0","0","0","0","127.551648000","0.000131000","0.149445000","0.000131000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64013","26599","372","0","3","0","0","1","0","0","0","0","127.552017000","0.000369000","0.149814000","0.000369000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","27832","1460","3","0","0","1","1","0","0","0","127.552233000","0.000216000","0.150030000","0.000216000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","29292","372","0","3","0","0","1","0","0","0","0","127.552975000","0.000742000","0.150772000","0.000742000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","29292","1233","3","0","0","1","1","0","0","0","127.553355000","0.000380000","0.151152000","0.000380000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","30525","1460","3","0","0","1","1","0","0","0","127.569290000","0.015935000","0.167087000","0.015935000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","31985","1460","3","0","0","1","1","0","0","0","127.569964000","0.000674000","0.167761000","0.000674000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","31985","372","0","3","0","0","1","0","0","0","0","127.570136000","0.000172000","0.167933000","0.000172000"
